Date,New cases
2021-11-13,24760.0
2021-11-14,15693.0
2021-11-15,12012.0
2021-11-16,17514.0
2021-11-17,19879.0
2021-11-18,21810.0
2021-11-19,21271.0
2021-11-20,19474.0
